Frente,Verso
1. Evolução Histórica – O Estado Democrático de Direito caracteriza-se por: a) Supremacia do interesse privado. b) Ausência de controle estatal. c) Submissão da Administração à legalidade. d) Concentração de poderes no Executivo.,"Do absolutismo ao Estado Democrático de Direito; marcos como o Estado Liberal, Estado Social e Constitucionalismo."
2. Sistemas Administrativos – O sistema de jurisdição única adotado no Brasil significa que: a) Apenas o Executivo julga seus atos. b) O Judiciário julga atos administrativos. c) Não há controle sobre atos administrativos. d) A Administração tem jurisdição própria.,Sistemas francês (contencioso administrativo) e anglo-americano (jurisdição única); Brasil adota sistema de jurisdição única.
3. Constitucionalização – A constitucionalização do Direito Administrativo no Brasil teve como marco: a) A Constituição de 1967. b) O AI-5. c) A Constituição de 1988. d) A Emenda Constitucional nº 1.,Inserção dos princípios e regras do Direito Administrativo na Constituição Federal de 1988.
4. Princípios – Assinale o princípio que não integra o caput do art. 37 da CF/88: a) Legalidade. b) Impessoalidade. c) Eficiência. d) Supremacia do Interesse Público.,"Legalidade, Impessoalidade, Moralidade, Publicidade, Eficiência (art. 37, CF); outros: segurança jurídica, razoabilidade."
"5. Interpretação e Integração – A integração do Direito Administrativo se dá, EXCETO: a) Por analogia. b) Pelo costume. c) Pela jurisprudência. d) Pela livre criação do intérprete.","Uso da analogia, costumes e princípios gerais do Direito; prevalência da Constituição."
"6. Acesso à Informação e Governo Digital – Sobre a Lei de Acesso à Informação, assinale a alternativa correta: a) Não é aplicável a fundações. b) Garante sigilo de todos os atos. c) Permite acesso amplo às informações públicas. d) É aplicada apenas ao Executivo.",Lei de Acesso à Informação (Lei 12.527/2011); digitalização de serviços públicos e transparência.
7. Atividade Administrativa – A atividade administrativa deve ser exercida com base: a) Na discricionariedade ilimitada. b) Na conveniência do servidor. c) Na supremacia do interesse público. d) No interesse do governante.,Atuação direta da Administração para satisfação do interesse público.
7.1 Poderes e Deveres – É dever do administrador público: a) Atuar conforme seus interesses. b) Aplicar sanções sem motivação. c) Observar a legalidade e moralidade. d) Ignorar o princípio da eficiência.,"Poder-dever de agir conforme a legalidade, com moralidade, proporcionalidade e razoabilidade."
7.2 Uso e Abuso de Poder – O abuso de poder ocorre quando há: a) Aplicação da lei. b) Atuação com eficiência. c) Desvio de finalidade ou excesso de poder. d) Supressão de formalidades.,"Desvio de poder (finalidade) e excesso de poder (competência, forma, objeto, motivo)."
"7.3 Poder de Polícia – O poder de polícia administrativa é exercido para: a) Facilitar a atuação do particular. b) Garantir o interesse coletivo, mesmo com restrições. c) Aumentar a liberdade individual. d) Atender aos interesses do governante.","Restrição de direitos individuais em prol do interesse público; requisitos: legalidade, proporcionalidade."
8. Controle da Administração – O controle da Administração Pública visa: a) Limitar a atuação do Judiciário. b) Garantir a supremacia do interesse privado. c) Fiscalizar e corrigir ilegalidades. d) Aumentar a autonomia administrativa.,Fiscalização da legalidade e mérito dos atos administrativos.
8.1 Controles Interno e Externo – O controle interno é exercido por: a) Tribunal de Contas. b) Ministério Público. c) Administração sobre seus próprios atos. d) Poder Judiciário.,"Controle pela própria administração (interno) e por outros órgãos, como TCU (externo)."
"8.2 Administrativo, Legislativo, Jurisdicional – O controle jurisdicional dos atos administrativos visa: a) Rever o mérito administrativo. b) Controlar apenas atos legislativos. c) Garantir legalidade dos atos. d) Atuar apenas em casos políticos.","Administração revisa seus atos; Legislativo (comissões, CPI); Judiciário (legalidade)."
8.3 Controle de Políticas Públicas – O controle de políticas públicas pode ser exercido pelo Judiciário quando: a) Não houver lei orçamentária. b) Houver omissão estatal incompatível com a Constituição. c) Não houver recurso financeiro. d) A política for discricionária.,Eficiência e legalidade das políticas públicas; atuação do Judiciário e Tribunais de Contas.
8.4 Gestão Fiscal – A responsabilidade na gestão fiscal é regida por: a) Código Civil. b) Lei nº 8.666/93. c) Lei de Responsabilidade Fiscal. d) Lei de Improbidade.,Responsabilidade pela LRF (Lei de Responsabilidade Fiscal); equilíbrio orçamentário.
8.5 Tribunal de Contas – Compete ao Tribunal de Contas: a) Aplicar pena criminal. b) Declarar inconstitucionalidade. c) Julgar contas dos administradores públicos. d) Atuar como órgão do Judiciário.,"Órgão auxiliar do Legislativo; julga contas, realiza auditorias, fiscalização e sanção."
9. CNMP – O CNMP é composto por: a) Apenas membros do MPF. b) Cidadãos eleitos por voto direto. c) Membros do MP e representantes da sociedade. d) Somente promotores estaduais.,Composição por membros do MP e sociedade; fiscaliza a atuação administrativa e financeira do MP.
10. Patrimônio e Moralidade – A moralidade administrativa impõe: a) Interesse pessoal. b) Conduta ética e conforme o interesse público. c) Atuação em benefício próprio. d) Desvio de finalidade.,Tutela do interesse público contra atos de improbidade e corrupção.
10.1 Probidade Administrativa – A probidade administrativa é garantida por: a) Decreto-lei 200/67. b) Constituição Imperial. c) Lei 8.429/92. d) Código Penal.,"Dever de honestidade, legalidade, lealdade; Lei 8.429/1992."
10.2 Controle da Probidade – O controle da probidade cabe: a) Apenas ao Prefeito. b) Ao Ministério Público e órgãos de controle. c) Às Câmaras Municipais exclusivamente. d) Somente ao cidadão.,"Atuação dos órgãos de controle interno, MP, TCU, CGU."
10.3 Atos de Improbidade – Um ato de improbidade pode ser: a) Contrato assinado regularmente. b) Ato praticado com honestidade. c) Uso de cargo para obter vantagem pessoal. d) Participação em licitação.,"Enriquecimento ilícito, prejuízo ao erário, violação de princípios."
"10.4 Sanções – As sanções por improbidade incluem: a) Apenas multa. b) Perda do mandato eletivo, exclusivamente. c) Suspensão de direitos políticos, perda do cargo, multa. d) Prisão simples.","Suspensão de direitos, perda de função, multa, proibição de contratar."
